"64";"RFT000118";"2002-11-26";"O Estado do circuito passou de Em Teste para Entregue.";"lmfigueiredo"
"65";"RFT000116";"2002-11-26";"A data de instalação do circuito passou de 0000-00-00 para 2002-11-25.";"lmfigueiredo"
"66";"RFT000116";"2002-11-26";"O Estado do circuito passou de Em Teste para Entregue.";"lmfigueiredo"
"67";"RFT000108";"2002-11-26";"O Estado do circuito passou de Entregue para Activo.";"lmfigueiredo"
"68";"RFT000108";"2002-11-26";"O circuito de suporte da terminação 1 mudou de 0 para .";"lmfigueiredo"
"69";"RFT000108";"2002-11-26";"O circuito de suporte da terminação 2 mudou de 0 para .";"lmfigueiredo"
"70";"RFT000108";"2002-11-26";"Houve alterações nas observações do circuito";"lmfigueiredo"
"71";"RFT000072";"2002-11-26";"O Estado do circuito passou de Em Teste para Entregue.";"lmfigueiredo"
"72";"RFT000072";"2002-11-26";"O circuito de suporte da terminação 1 mudou de 0 para .";"lmfigueiredo"
"73";"RFT000072";"2002-11-26";"O circuito de suporte da terminação 2 mudou de 0 para .";"lmfigueiredo"
"74";"RFT000119";"2002-11-26";"A morada da terminação 1 mudou de CTC PAMPILHOSA para Pampilhosa CTC.";"lmfigueiredo"
"75";"RFT000119";"2002-11-26";"A morada da terminação 2 mudou de CAMPANHÃ para Campanhã.";"lmfigueiredo"
"76";"RFT000075";"2002-11-26";"O Estado do circuito passou de Entregue para Activo.";"vsantunes"
"77";"RFT000075";"2002-11-26";"O circuito de suporte da terminação 1 mudou de 0 para .";"vsantunes"
"78";"RFT000075";"2002-11-26";"O circuito de suporte da terminação 2 mudou de 0 para .";"vsantunes"
"79";"RFT000102";"2002-11-26";"A morada da terminação 1 mudou de Entrecampos CTC para Entrecampos.";"lmfigueiredo"
"80";"RFT000102";"2002-11-26";"O circuito de suporte da terminação 1 mudou de 0 para .";"lmfigueiredo"
"81";"RFT000102";"2002-11-26";"O circuito de suporte da terminação 2 mudou de 0 para .";"lmfigueiredo"
"82";"RFT000102";"2002-11-26";"A morada da terminação 1 mudou de Entrecampos para Campolide CTC.";"lmfigueiredo"
"83";"RFT000102";"2002-11-26";"O circuito de suporte da terminação 1 mudou de 0 para .";"lmfigueiredo"
"84";"RFT000102";"2002-11-26";"O circuito de suporte da terminação 2 mudou de 0 para .";"lmfigueiredo"
"85";"RFT410001";"2002-11-27";"A data de instalação do circuito passou de 0000-00-00 para 2002-11-27.";"lmfigueiredo"
"86";"RFT410001";"2002-11-27";"Foi introduzido o equipamento da terminação 1.";"lmfigueiredo"
"87";"RFT410001";"2002-11-27";"Foi introduzido o tributário da terminação 1.";"lmfigueiredo"
"88";"RFT410001";"2002-11-27";"Foi introduzido o equipamento da terminação 2.";"lmfigueiredo"
"89";"RFT410001";"2002-11-27";"Foi introduzido o tributário da terminação 2.";"lmfigueiredo"
"90";"RFT410001";"2002-11-27";"O Estado do circuito passou de Definido para Em Teste.";"lmfigueiredo"
"91";"RFT410002";"2002-11-27";"A data de instalação do circuito passou de 0000-00-00 para 2002-11-27.";"lmfigueiredo"
"92";"RFT410002";"2002-11-27";"O Estado do circuito passou de Definido para Em Teste.";"lmfigueiredo"
"93";"RFT410002";"2002-11-27";"Foi introduzido o equipamento da terminação 1.";"lmfigueiredo"
"94";"RFT410002";"2002-11-27";"Foi introduzido o tributário da terminação 1.";"lmfigueiredo"
"95";"RFT410002";"2002-11-27";"Foi introduzido o equipamento da terminação 2.";"lmfigueiredo"
"96";"RFT410002";"2002-11-27";"Foi introduzido o tributário da terminação 2.";"lmfigueiredo"
"97";"RFT410003";"2002-11-27";"A data de instalação do circuito passou de 0000-00-00 para 2002-11-27.";"lmfigueiredo"
"98";"RFT410003";"2002-11-27";"O Estado do circuito passou de Definido para Em Teste.";"lmfigueiredo"
"99";"RFT410003";"2002-11-27";"Foi introduzido o equipamento da terminação 1.";"lmfigueiredo"
"100";"RFT410003";"2002-11-27";"Foi introduzido o tributário da terminação 1.";"lmfigueiredo"
"101";"RFT410003";"2002-11-27";"Foi introduzido o equipamento da terminação 2.";"lmfigueiredo"
"102";"RFT410003";"2002-11-27";"Foi introduzido o tributário da terminação 2.";"lmfigueiredo"
"103";"RFT410004";"2002-11-27";"A data de instalação do circuito passou de 0000-00-00 para 2002-11-27.";"lmfigueiredo"
"104";"RFT410004";"2002-11-27";"O Estado do circuito passou de Definido para Em Teste.";"lmfigueiredo"
"105";"RFT410004";"2002-11-27";"Foi introduzido o equipamento da terminação 1.";"lmfigueiredo"
"106";"RFT410004";"2002-11-27";"Foi introduzido o tributário da terminação 1.";"lmfigueiredo"
"107";"RFT410004";"2002-11-27";"Foi introduzido o equipamento da terminação 2.";"lmfigueiredo"
"108";"RFT410004";"2002-11-27";"Foi introduzido o tributário da terminação 2.";"lmfigueiredo"
"109";"RFT410005";"2002-11-27";"Foi introduzido o equipamento da terminação 1.";"lmfigueiredo"
"110";"RFT410005";"2002-11-27";"Foi introduzido o tributário da terminação 1.";"lmfigueiredo"
"111";"RFT410005";"2002-11-27";"A data de instalação do circuito passou de 0000-00-00 para 2002-11-27.";"lmfigueiredo"
"112";"RFT410005";"2002-11-27";"O Estado do circuito passou de Definido para Em Teste.";"lmfigueiredo"
"113";"RFT410005";"2002-11-27";"Foi introduzido o equipamento da terminação 2.";"lmfigueiredo"
"114";"RFT410005";"2002-11-27";"Foi introduzido o tributário da terminação 2.";"lmfigueiredo"
"115";"RFT410006";"2002-11-27";"A data de instalação do circuito passou de 0000-00-00 para 2002-11-27.";"lmfigueiredo"
"116";"RFT410006";"2002-11-27";"O Estado do circuito passou de Definido para Em Teste.";"lmfigueiredo"
"117";"RFT410006";"2002-11-27";"Foi introduzido o equipamento da terminação 1.";"lmfigueiredo"
"118";"RFT410006";"2002-11-27";"Foi introduzido o tributário da terminação 1.";"lmfigueiredo"
"119";"RFT410006";"2002-11-27";"Foi introduzido o equipamento da terminação 2.";"lmfigueiredo"
"120";"RFT410006";"2002-11-27";"Foi introduzido o tributário da terminação 2.";"lmfigueiredo"
"121";"RFT420001";"2002-11-27";"A data de instalação do circuito passou de 0000-00-00 para 2002-11-27.";"lmfigueiredo"
"122";"RFT420001";"2002-11-27";"O Estado do circuito passou de Definido para Em Teste.";"lmfigueiredo"
"123";"RFT420001";"2002-11-27";"Foi introduzido o equipamento da terminação 1.";"lmfigueiredo"
"124";"RFT420001";"2002-11-27";"Foi introduzido o tributário da terminação 1.";"lmfigueiredo"
"125";"RFT420001";"2002-11-27";"Foi introduzido o equipamento da terminação 2.";"lmfigueiredo"
"126";"RFT420001";"2002-11-27";"Foi introduzido o tributário da terminação 2.";"lmfigueiredo"
"127";"RFT420002";"2002-11-27";"A data de instalação do circuito passou de 0000-00-00 para 2002-11-27.";"lmfigueiredo"
"128";"RFT420002";"2002-11-27";"O Estado do circuito passou de Definido para Em Teste.";"lmfigueiredo"
"129";"RFT420002";"2002-11-27";"Foi introduzido o equipamento da terminação 1.";"lmfigueiredo"
"130";"RFT420002";"2002-11-27";"Foi introduzido o tributário da terminação 1.";"lmfigueiredo"
"131";"RFT420002";"2002-11-27";"Foi introduzido o equipamento da terminação 2.";"lmfigueiredo"
"132";"RFT420002";"2002-11-27";"Foi introduzido o tributário da terminação 2.";"lmfigueiredo"
"133";"RFT420003";"2002-11-27";"A data de instalação do circuito passou de 0000-00-00 para 2002-11-27.";"lmfigueiredo"
"134";"RFT420003";"2002-11-27";"O Estado do circuito passou de Definido para Em Teste.";"lmfigueiredo"
"135";"RFT420003";"2002-11-27";"Foi introduzido o equipamento da terminação 1.";"lmfigueiredo"
"136";"RFT420003";"2002-11-27";"Foi introduzido o tributário da terminação 1.";"lmfigueiredo"
"137";"RFT420003";"2002-11-27";"Foi introduzido o equipamento da terminação 2.";"lmfigueiredo"
"138";"RFT420003";"2002-11-27";"Foi introduzido o tributário da terminação 2.";"lmfigueiredo"
"139";"RFT420004";"2002-11-27";"A data de instalação do circuito passou de 0000-00-00 para 2002-11-27.";"lmfigueiredo"
"140";"RFT420004";"2002-11-27";"O Estado do circuito passou de Definido para Em Teste.";"lmfigueiredo"
"141";"RFT420004";"2002-11-27";"Foi introduzido o equipamento da terminação 1.";"lmfigueiredo"
"142";"RFT420004";"2002-11-27";"Foi introduzido o tributário da terminação 1.";"lmfigueiredo"
"143";"RFT420004";"2002-11-27";"Foi introduzido o equipamento da terminação 2.";"lmfigueiredo"
"144";"RFT420004";"2002-11-27";"Foi introduzido o tributário da terminação 2.";"lmfigueiredo"
"145";"RFT420005";"2002-11-27";"A data de instalação do circuito passou de 0000-00-00 para 2002-11-27.";"lmfigueiredo"
